Text	Complexity Score
Which airline founded by Frank Lorenzo was affected by a strike in 1989?	0.14
What county named for a hero in the French and Indian War and a general in the American Revolutionary War is represented by Assemblyman Kevin Byrne?	0.23
Which was released second, Charley and the Angel or Planes?	0.14
What roles does American actress which Manfish featured in the motion picture debut of do play?	0.26
What Category 5 hurricane cause the Sqannanoa River to flood?	0.12
Both the Drever and Finnish Hound are two dog breeds that are bred for what purpose?	0.19
Which former lawyer and entrepreneur who was convicted for conspiracy and drug dealing was involved in a civil suit against Bill and Hillary Clinton?	0.3
What year was the series published that recounts the adventures of Anne Shirley and published by Scholastic Press?	0.19
Which mine in California, lasting from 1873 to 1883, became one of the most noted mercury producers in the world?	0.26
Which author was born first, Lorraine Hansberry or Sandra Gulland?	0.12
What does the L stand for in Patriot Games star Samuel L. Jackson's name?	0.16
Snow White is a Disney media franchise based on a German fairy tale by who?	0.19
Summit1g started streaming the battle royale game published by which company?	0.14
"""I Saw Her Again"" was co-written by what Canadian singer born in 1940?"	0.23
What was the name of the band that starred Belinda Carlisle and released the album, Germicide in 1977?	0.23
What Brazilian professional footballer endorsed the Mercurial Vapor boot?	0.12
What is the capital of the archipelago where Djoièzi is located?	0.14
Are Manettia and Fragaria both edible?	0.07
In what year did the submarine that sank the Tsushima Maru open to public tours?	0.19
Who directed the movie that Olympia Dukakis won an Academy Award for?	0.16
What piece was composed in 1937 for the American Bandmasters Association and has a melody similar to Green Bushes?	0.19
"What is the best known song of the artist who originally recorded the song ""A Thousand Times a Day""?"	0.26
Of the film directors Kenji Mizoguchi and Andrzej Żuławski, which one often went against mainstream commercialism in his films?	0.3
Whitney Williams has a chair on the board of a non-profit with Ben Affleck and what other company?	0.21
What show is an American-Canadian drama starring Scott Lowell playing Ted Schmidt?	0.16
In what year was the woman whose former chief of staff was Rachel Noerdlinger born?	0.21
The Oxus cobra contains what kind of ions for their venom to be active?	0.16
What year saw the founding of the baseball team where Hal McRae played from 1973-87?	0.23
What other country was the queen who launched Dannebrog, also a queen for between 1918 and 1944?	0.23
Who won an award first, the Brothers Quay or Alexandra Shiva?	0.14
What was the nationality of Marco Garibaldi's former partner?	0.12
A theoretical explanation of the Wien effect has been proposed by a man awarded the Nobel Prize in Chemistry in what year?	0.21
Which is located in Hunan province, Huaihua or Qitaihe?	0.09
Which baseball player and manager was born in Ellisville, Mississippi, home of 4448 people?	0.21
What animal subject to the Foster's rule is the smallest North American deer?	0.16
Who is an American musician, Peter Chelsom or Billy Bob Thornton?	0.12
The 1950 BRDC International Trophy included what entrant from Bourne, Lincolnshire, England?	0.14
If Cheung Kong Center were to host A Symphony of Lights, what aspect of the center would be necessary to do so?	0.28
Have Peter Cetera and Jeremy McKinnon both been members of a band?	0.12
What is the actor who starred in School Spirit best known for?	0.16
In what country is both Faxe and Heineken brewed in?	0.12
What is the nickname of the airplane model flown in Malaysian Airlines Flight 370?	0.14
Which gold mine is located in the Bridge River District, Bralorne or Dome Mine?	0.12
What position did the former American first lady who employed Ann M. O'Leary during her husband's presidency hold in the Obama administration?	0.3
Both Corydalis and Cedrus are what level of classification in the naming system?	0.14
What award did a single from the first Foo Fighters album to feature Chris Shiflett win?	0.19
Which film director is younger, Del Lord or Wang Xiaoshuai?	0.12
Who writes poetry such as Glaring Through Oblivion as well as leading the heavy metal band System Of A Down?	0.3
"This American actor who starred in ""Veep"" was also in an action comedy film directed by Seth Rogen and Evan Goldberg heavily inspired by what?"	0.37
What is the given name of the creator of the Album released on July 7, 2017 by Slaughter Gang and Epic Records?	0.21
What album did a Danish-born Montenegrin singer born in 1971 release in late spring 2008?	0.21
For which film did, the composer who scored the music for Interview with the Vampire, win the Academy Award?	0.23
Doloroso, Mississippi rests on the US highway that runs for how many miles?	0.21
What is the name of the 3 Michelin Star Restaurant that is located in the second largest hotel in the United States?	0.21
The ancient Roman town near Fusaro Lake is now the commune of what?	0.16
Was Howard Hawks a screenwriter of more productions than Arthur Berthelet?	0.14
Are both the Aşiyan Museum and Sultan Ahmed Mosque located in Istanbul?	0.12
Leigh Silverman was nominated for the 2014 Tony Award, Best Direction for a musical based on which short story?	0.21
"When did the company that produced ""Six Gates Far Away Mon Colle Knight"" begin?"	0.21
What is the name of the business that George Dayton founded and later Bruce Dayton expanded?	0.21
Where is a place that has both Lano Estacado and Buda Limestone geological formations?	0.26
How many stored does the American fast food restaurant franchise that sponsored Subway 400 have?	0.28
"What British rock band is responsible for bolstering Quiet Riot's hit ""Mental Health""?"	0.21
Both Martha Stewart Living and Tall Timber Short Lines are considered what?	0.16
Which was around longer in 2010, Miss Universe or Miss Perú?	0.16
What is the name of the widow of the earl who served as both Foreign Secretary and Prime Minster from 1955 to 1957?	0.23
Former player Darius Maskoliūnas coaches for which of the oldest Lithuanian basketball teams?	0.19
The metafamily of graphical operating systems developed, marketed, and sold by Microsoft offers what kind of help to musicians?	0.26
From which Metallica album does the song, used by Niels de Ruiter as walk-on music, come?	0.21
"Are the bands ""Halestorm"" and ""Say Anything"" from different states?"	0.14
Between the two musicians, Peter Garrett and Ryo Kawakita, who has had more diverse job experiences?	0.23
How long was the Underdog show presented by an English comedian Julian Clary?	0.16
Were both Ted Tetzlaff and David Siegel film actors?	0.09
What film title does J. F. Lawton and Shawn Levy have in common?	0.16
As of 2016, which band released more albums, The Last Shadow Puppets or The Classic Crime?	0.19
"Which band-mate of Joe Perry's co-wrote ""Monkey On My Back"" and is known as the ""Demon of Screamin""?"	0.26
Lacu is a dummer from a sovereign state in Norther Europ whose population in 2016 was what?	0.21
Who was the goalkeeper who blocked the most decorated English footballer player of all time?	0.21
"In the 2016 romantic drama ""Me Before You"" directed by Thea Sharrock, Sam Claflin (who also appears in The Hunger Games) stars as which character?"	0.3
"Which actress had roles in the movies ""Janie Jones"" and ""Signs""?"	0.14
"What number post-Beatles album of Paul McCartney did ""No Words"" appear on?"	0.16
Edwin van der Sar spoke to the crowd after the fireworks incident on April 20, 2014 during the KNVB Cup final match. Which team won that game?	0.21
"A major character in the 2000 novel ""Storm Front"" had her name changed to what when the novel series was adapted for television?"	0.33
What do it yourself magazine does William Gurstelle write for?	0.19
While both singer-songwriters have displayed incredible talent, what sets Robert Palmer apart from Wayne Coyne, causing him to gain populatiry in two continents?	0.37
The made for television biopic Ishi: The Last of His Tribe based on Alfred L. Kroeber is about what tribe?	0.26
Which happened first Battle of Okinawa or Operation Nordwind?	0.14
David J. Wineland was awarded the 2012 Nobel Prize in Physics jointly with which French physicist known for a study of the particle of light?	0.28
What band was formed earlier, Better Than Ezra or the Melvins?	0.14
Steve Peterson appeared as which character in a Shakespeare comedy written for the close of the Christmas season?	0.16
Morning glory and Sorbus are both a genus of plants?	0.14
Are Camassia and Chelone both native to North America?	0.09
Are the University of West Florida and FH Joanneum both American Universities?	0.12
"What type od dance music inspired the band, ""The Kabalas""?"	0.16
Who was the two time Walter Camp Coach of the Year winner who led the 2000 Oklahoma Sooners to an Orange Bowl victory?	0.19
Shanghai Noon was the directorial debut of an American film director whose other credits include Showtime, Failure to Launch, and what other film?	0.33
Which musician was born first, John Tardy or Tom Barman?	0.12
Who is the artist of The Scarlet Letter and debdebuted on the music scene as Missy Elliott's protégée?	0.19
What was the royal title of the man whose German government backed the colonization of Poland by German settlers, one ofthe factors leading to the plight of rural Poland which was the focus of the novel The Outpost?	0.51
Lewis Moran was murdered a week after the death of the hitman from what Australian city?	0.16
What is the nickname for this United States drag racer who drove Brutus?	0.19
Where was the NFL draft held in which Kenyatta Walker was selected in the first round by the Tampa Bay Buccaneers?	0.23
ND Črnuče was managed in the mid-90s by the football coach of what nationality?	0.14
"""State of Grace"" and ""I knew You Were Trouble"" were both off of Taylor Swift's ""Red"" album, which song was written by Swift, Max Martin and Shellback?"	0.37
An operatic commedia in three acts that is by an Italian Baroque composer who was famous for operas and chamber cantatas, was first performed where?	0.35
When was the man who was filmed by his brother and friend as he built a romantic relationship on Facebook born?	0.35
When did the politician who represented the electoral district in Sydney's West resign from his political party?	0.28
Who was the original executive producer of the children's television series, produced by Sesame Workshop and created by Joan Ganz Cooney and Lloyd Morrisett?	0.26
How did the first movie of the series that spawned Arthur 3: The War of the Two Worlds do internationally?	0.3
Was Winnie the Pooh or The Jungle Book released first?	0.14
Who is younger, Yevgeny Kafelnikov or Allan Stone?	0.09
What were the Royal Navy Battleships, that were considered the first fast battleships and were used in WWI and WWII?	0.23
Where did Auguste von Müller play Dalila in 1877?	0.12
Héctor Canziani is best known for his directorship and production of the 1950 tango dancing film Al Compás de tu Mentira based on a play by a writer who passed away in which year?	0.42
In which decade was the Ivel Z3 and the Prológica CP-400 developed in?	0.14
What network did the 2003 animated television show voiced by Jim Conroy air on?	0.16
What country was Daniel Awde born in?	0.05
Which British aristocrat and politician born in 1945 served as the Chairman of the Council of King's College London before Christopher Geidt?	0.26
Which film came out later, Pocahontas or The Game Plan?	0.12
What series does the American character actor best-known for playing General Hammond star in the first episode?	0.26
What sport are Mary-Ann Eisel and Christo van Rensburg known for playing?	0.07
How many doors was the hatchback introduced in late 2000 by BMW in the former Morris plant?	0.23
Mandaluyong includes a shopping mall that is located in what shopping center?	0.19
The Silver Nugget is a casino and arena located in a city that was incorporated on what date?	0.19
Who founded both the Sapling Foundation and Future Publishing?	0.12
Are Robin Hobb and Winston Churchill both American writers?	0.12
Argent Corporation was a company in Las Vegas that at one time controlled a hotel that operated when?	0.21
Which contains more species, Stigmaphyllon or Aloe?	0.12
Luke Day was known for his leadership role in an armed uprising in Massachusetts that ended in what year?	0.26
A Lady's Morals starred which English aviator and amateur boxing champion?	0.19
Which geologic formation is found in the northern edge of Patagonia?	0.14
The Battle of Tornavento was a feature of the Thirty Years' War, a religious conflict across which continent?	0.19
"Where in England does Maxime Teremoana ""Max"" Crocombe play football?"	0.19
What level of education does Ateneo de Davao University offer that the University of Minnesota does not?	0.23
Who was the coach who left for Milan the same year that the first golden goal scorer was topscorer for Udinese Calcio?	0.3
On which stock exchange does the makers of Panadol night have a primary listing?	0.21
"Spaceballs, a 1987 American film, starred which actor that was best known for his role in ""Eight is Enough""?"	0.28
If you use the lyrics from Tom Lehrer and the tune of Major-General's Song The Pirates of Penzance, what list will you be able to recite?	0.33
In which city is Swinburne University of Technology, home of the Centre for Astrophysics and Supercomputing?	0.19
Sandy Fox was a voice actress in King of the Hill, what else do they have in common?	0.23
The short story from The Wind’s Twelve Quarters that won the Hugo Award in 1974 was published in what year?	0.23
Ashley Hicks' mother is a great niece of what Empress of Russia?	0.14
Adrienne Maloof was a businesswoman who is part of a family from what city?	0.14
Who owns a mall in Youngstown, Ohio with a BAM! store?	0.14
What is the nickname of the first baseman who was traded by the Padres in 2010?	0.19
University of Maryland, College Park is the largest university in that state. In what state is Rutgers University the largest institution for higher learning?	0.14
When did the coach of the Karachi Kings finish his time as coach of the Australia national cricket team?	0.26
Who was born more recently, Dean Koontz or A. E. Housman?	0.14
"""The Little Sisters of Eluria"" was included in which American author's collection ""Everything's Eventual""?"	0.21
Edward Scobie is best known for research he did in which african immagrants in Europe are born from where?	0.26
What song recorded by Barbadian recording artist Rihanna was written by Corey Chorus?	0.19
Ubaydallah ibn Abdallah ibn Tahir was the last major Tahirid to hold high office in what dynasty?	0.19
What is included in the complex where the play Punk Rock was premiered?	0.16
Are eith Nicotiana or Encyclia genus of pine trees?	0.14
Are both documentary films The One Percent and Air Force, Incorporated from the same country?	0.19
Which former lawyer previously held the seat held by Yuh-Line Niou?	0.19
What is the former leader of the school of Soviet and Russian humorists's son the head of?	0.21
How many awards did the alphabetically first animator of The Country Cousin receive?	0.19
Are both Mariqueen Maandig and Pelle Almqvist from the same country?	0.12
What is the name of Robert Dr Niros characters wife?	0.09
Grassmann's law is named after a linguist born in which year?	0.14
David Knox is the former Chief Executive Officer and Managing Director of a company owned predominantly by nationals of which country?	0.23
"What English operatic tenor sang the duet ""O soave fanciulla "" from Puccini's opera ""La bohème"" with Mary Plazas?"	0.26
What do Freedomland U.S.A. and Baychester both have in common?	0.14
What music subgenre that is influenced a lot by sounds from Texas and Oklahoma does Jason Eady represent?	0.26
Who is the boyfriend of the animated female duck voiced by Clarence Nash?	0.16
The son of the The Marvel Comics Character created by Stan Lee and John Romita Sr in 1967 is what kind of character?	0.21
Which occupation did Gareth Evans and Michael Winner have in common?	0.14
When did the magazine Wallace Hester work for run?	0.12
Which singer also produced records, Eugene Hütz or Alex Chilton?	0.14
The scholar who analyzed the Ben Sira scroll added portions to a book of the Bible written by the author on the inspiration of who?	0.28
The 2013 Indiana Hoosiers football team were lead by which current offensive coordinator at Ohio State?	0.19
"Which act did the band Twenty Twenty support who began her career starring in the children's television series ""Barney & Friends""?"	0.33
In the 1975–76, Seattle SuperSonics lost to a team based in which US state?	0.16
"Miracle is a song by Julian Perretta, that was a collaboration with what Belgian DJ and record producer that is best known for ""Are you with me"" and ""Reality""?"	0.37
What company owns both Mountain Dew and Tropicana Products?	0.09
By how many days per decade has the melt season lengthened in the shallowest of the world's major oceans?	0.28
Place Bonaventure is adjacent to a rail station that is used by how many passengers?	0.21
Are both Die Macher and Quoridor German board games?	0.14
What disease does Minkowski Prize and Oskar Minkowski have in common?	0.12
What was the name of the Australian bred Thoroughbred racehorse who won Australia's most prestigious annual Thoroughbred horse race in 1950?	0.33
What did the king of England, Scotland and Ireland create in 1652?	0.14
What project did the namesake of 2752 Wu Chien-Shiung work on?	0.09
Are musicians Paul Cotton and Cedric Bixler-Zavala both members of a band?	0.14
Which genus is more spread around the world Maytenus or Eucommia?	0.14
Does Lüliang or Fuxin have a larger population?	0.14
Are Shiba Inu and Leonberger both large dog breeds?	0.09
Which English actor was a supporting cast in Tristan & Isolde?	0.14
What to Autograph Collector Magazine and Linux Journal have in common?	0.12
Eric Musselman was an assistant coach for Orlando Magic Under doc rivers and what head coach that led United States men's Olympic basketball team to the gold medal at the 1992 Summer Olympics.?	0.37
Who was born first, Béla Bartók or Dmitri Shostakovich?	0.12
Is the Staffordshire Bull Terrier bigger than the Miniature American Shepherd?	0.14
"In what year did the author who wrote ""The 19th Wife"" release his novel that was adapted into a Academy Award winning film starring Eddie Redmayne?"	0.4
One of the natives of Reggiolo was last manager of what German football club?	0.19
"What county music artist first gained national attention as a winner on ""You Can Be a Star"" and wen on to provide background vocals in 199 on the 1992 release of the song ""Take It Like a Man""?"	0.49
"What is the stage name of the singer who is starring in ""The Underdog"" alongside Park So-dam and Park Chul-min?"	0.26
What is the alternate translation for the honorary title of which Vladimir Basov and Inna Churikova were both recipients?	0.21
Which company released the movie series starring Adam Herz and David H. Steinberg?	0.16
What former Federal Bureau of Investigation agent is the film Breach based on?	0.16
Who was a professor of theology at the University of Leiden as well as a student of Theodore Beza?	0.19
Were both Memotech MTX and TEC-1 single-board kit computers?	0.19
Trax Colton appeared in two films as a contract player for an American film studio located just west of where?	0.28
Who did the 47th Governor appoint as a justice of the Supreme Court of Texas?	0.16
Vala is a character that is mentioned in the world created by what English author?	0.19
Which genus of flowering plant has more species Bulbophyllum or Bismarckia?	0.19
The World War II hero whom the USS Elrod was named after, graduated from what two Universities?	0.14
In 1981 the European School, Munich moved to its current location in a borough that was built starting in what year?	0.28
Roy Hilton played in Super Bowl V against the Cowboys, what was his position?	0.16
In what year did the historical film drama based on the true story of Charles Horman win The Palme d'Or?	0.23
How much of South Dakota is west of the longest river in North America?	0.16
Which lasted longer, Korean War or Battle of Mindanao?	0.14
"In which English town did Adam Chance Angus Rayner appear on stage in ""Romeo and Juliet""?"	0.21
On what island is the country in which Malcolm Allen was born?	0.12
A Simple Plan was a thriller novel that led to a film starring whom?	0.19
"Jo Lynn ""Jody"" Allen is the sister of which American business magnate, investor and philanthropist?"	0.21
Were the films Victory Through Air Power and Encounters at the End of the World released in the same year?	0.23
The President of Egypt was know to call the Egyptian revolution of 1952 by what other name?	0.21
"The Sagittarius Dwarf Spheroidal Galaxy, a loop-shaped galaxy of the Milky Way, is which type of the three main classes of galaxy originally described by Edwin Hubble in ""The Realm of the Nebulae""?"	0.35
What is the actual first name of the director of the film Hollywood Ending?	0.16
What is the name of the fourth-largest Korean-language wiki focused on amine and manga fandom?	0.26
What is the name of the illegitimate daughter of the President involved in the Teapot Dome scandal?	0.16
Which movie starring Kim Roi-ha is based on Korea's first serial murders in history?	0.23
The 1982 NC State Wolfpack were led by the coach who is currently a defensive assistant at which college?	0.21
What is the main base of the airline co-founded by John Nicolaas Block?	0.16
Does Jack and Coke or Pink Gin use lemon rind as garnish?	0.19
Abbottsburg was named for Joseph Carter Abbott, president of the Cape Fear Building Company and veteran of what war?	0.16
Who released their debut album first, The Operation M.D. or Framing Hanley?	0.21
Which of the film in which Jeremy Irvine had a role is a 2012 British teen drama film directed by Ol Parker?	0.28
What was the man whom Dr. Diarmuid Whelan wrote his doctoral thesis on?	0.19
Fuck and The Celluloid Closet are both what?	0.09
Was Jan Egil Storholt born in the third largest city in Norway?	0.16
Farallon Capital was founded by a hedge fund manager born in which year?	0.16
What Hotcourses Group founder was born in 1966?	0.09
"Thomas ""Tom"" Lonie played for which team at the King Power Stadium?"	0.14
John Maitland is a former American football running back, who earned what award that is given to winners of the Super Bowl?	0.3
Were Maurice White and Carol Decker both singers?	0.07
Are John Collier and Martin Amis the same nationality?	0.09
Where was this the actor born in 1899 who starred in The Tuttles of Tahiti trained at?	0.26
When considering Kelly D.Johnston and Bod Dole, which state was represented in the United States senate first - Oklahoma or Kansas?	0.21
Which road leading into Kentucky was near one of locales of the Green-Jones War and was turned down to become the National Road?	0.21
The group that owns the luxury watch company Longines was founded in which year?	0.21
How many expansion packs have been created for a game that Keith Baker, a game designer, created?	0.26
After competing in its first Winter Olympics, where will South Korea's national Ice hockey team make their World Championship debut?	0.3
Who played in the movie The Mint and also was on the TV show Jersey Shore?	0.21
What is the english name of the encyclical which was written by the Bishop of Rome and the sovereign of Vatican City?	0.23
What branch of military was the governor, who Sarah Steelman is currently serving, part of?	0.19
Renne Montagne and Steve Inskeep successed which Peabody Award-winning member of the National Radio Hall of Fame on NPR's Morning Edition?	0.26
Caldera de Taburiente National Park and Teide National Park are located in which island chain?	0.12
Which dog has more traits, the Norwegian Buhund, or the English Foxhound?	0.14
Who was Nicholas II of Russia's father?	0.07
What is the name of an album that features cover versions of songs off of a 1991 record by an Anglo-Irish rock band formed in Dublin in 1983?	0.37
Who directed the 1997 comedy film Rya Kihlstedt was in?	0.14
Tye White plays Kevin Satterlee in a drama series that premiered in what date?	0.19
The Argentine city Crespo holds an annual beer festival based on a German festival that began in what year?	0.3
Who's the husband of the writer of The Unknown?	0.07
When was the U.S. Senator representing Alabama died who's memoir was When Hell Was in Session?	0.26
In which town was CamCutter first revealed?	0.09
Did both movies, Alice's Birthday and Eleanor's Secret, come out in the same year?	0.19
Kamarinskaya was a folk dance that shares a name with the composer who was the first in his country to be recognized for what type of music?	0.33
What was the nationality of the costume designer of Homage to the Queen?	0.14
What do both Aealo and Rotting Christ have in common?	0.14
Who was the producer of the studio album that was supported by Pearl Jam's Vs. Tour?	0.16
Did the composer Charles Gounod or Mikhail Glinka live past the year 1875?	0.12
What mortgage and savings provider did Mr. Marks charge on Mrs. Hodgson freehold?	0.19
Who is the husband of lady which Camilla Luddington played her role in the Lifetime TV film?	0.21
What position did the chief strategy officer for the Cleveland Browns hold when he worked for the Dodgers?	0.23
Who has more scope of profession, PJ Harvey or Salt?	0.14
How often is the journal established by the 1954 recipient of the Bharat Ratna published?	0.16
Walter Iván Montoya is an Argentine professional footballer who plays for a club that was formed on what date?	0.23
Which band was formed first, Loudspeakers or Marcy Playground?	0.12
Which director was from a geographically smaller country, Éric Rohmer or Robert Stevenson?	0.16
What was named one of the seven wonders fo the architetural world by the magazine that has won twenty-five National Magazine awards?	0.23
What is the population according to the 2010 census of the town the Connor-Bovie House is located?	0.16
Where was the docmentary television show Inked located when filmed?	0.21
What nationality were the ancestors of the congresswoman who introduced WEEA?	0.12
What is the Kissin U singer known for in the Guiness World Records book?	0.12
Which woman's magazine was published first, the Australian Woman's Mirror or Woman's Viewpoint?	0.19
Apart from the founder of the Exclusive Brethren, what is the name of the second person who was sent by the Plymouth Brethren to investigate the outbreak of supernatural gifts of the Holy Spirit in Scotland?	0.37
For what other platform besides television did the actor who voiced a role in the animated DC Comics universe also voice roles for?	0.3
Another american singer Jack Splash wrote music for was?	0.14
What former Governor of Santa Cruz won after a runoff was canceled?	0.16
What breed besides the Xoloitzcuintli is specifically bred for alopecia?	0.14
Are Finance and I'm the Boss! both based on cooperation?	0.07
Who did the warchief Red Cloud defeat in the Powder River War?	0.09
Which tennis player is from Europe, Virginia Ruano Pascual or Andy Roddick?	0.14
An album released by Ziggy Marley called Dragonfly featured Flea who is best known as a bassist from what rock band?	0.3
What nationality is the singer of the song Love Crime?	0.07
What position at a university was held by the coach working with the Texas Longhorns during the 1932–33 season?	0.16
Sosarme was written by this German and later British composer who became a naturalized British subject in what year?	0.28
What address does Diana Ross live at?	0.09
Are Just, Melvin: Just Evil and Speaking in Strings both documentaries about musicians?	0.19
"""The Poor Kid"" is the fifteenth season finale of a series created by who?"	0.16
In what region was Eddy Mazzoleni born?	0.09
"Who was the bassist for Tool's song ""Schism""?"	0.09
What Cleveland Ohio based department store was one of the original anchors for the Parmatown Mall?	0.21
To whom was the shuttle service that operates in the Northeastern region sold to under its former name in 1989?	0.3
What is the name of the third largest East Asian stock exchange that once featured the New World Department Store China?	0.28
Who is the director of the horror comedy that Josh Stolberg participated screenwriting?	0.16
Kahibah FC is based is what country?	0.09
When was the deposition of the father of Charles Lennox Duke of Richmond?	0.14
In what year was Archduke Franz Ferdinand assassinated during the July Crisis?	0.09
Unlike a certain secretive recipe, Open-source cola is published. Who founded the secret formula?	0.16
Are Bobby Tench and Marilyn Manson both songwriters?	0.05
British screenwriter John Hodge adapted The Beach for a movie from the novel by which author?	0.21
